timestamp,currency,impact,event,actual,forecast,previous
2010-01-05 22:45:00,JPY,Low Impact Expected,10-y Bond Auction,1.34|2.6,,1.25|2.8
2010-01-06 00:00:00,EUR,Non-Economic,Italian Bank Holiday,,,
2010-01-06 03:00:00,CHF,High Impact Expected,Foreign Currency Reserves,95B,,95B
2010-01-06 03:15:00,EUR,Low Impact Expected,Spanish Services PMI,45.0,,46.1
2010-01-06 03:45:00,EUR,Low Impact Expected,Italian Services PMI,53.9,51.9,49.8
2010-01-06 03:50:00,EUR,Low Impact Expected,French Final Services PMI,58.7,59.3,59.3
2010-01-06 03:55:00,EUR,Low Impact Expected,German Final Services PMI,52.7,53.1,53.1
2010-01-06 04:00:00,EUR,Low Impact Expected,Final Services PMI,53.6,53.7,53.7
2010-01-06 04:30:00,GBP,High Impact Expected,Services PMI,56.8,56.7,56.6
2010-01-06 05:00:00,EUR,Medium Impact Expected,Industrial New Orders m/m,-2.2%,-1.0%,1.7%
2010-01-06 05:00:00,EUR,Low Impact Expected,PPI m/m,0.1%,0.2%,0.3%
2010-01-06 05:04:00,EUR,Medium Impact Expected,German 10-y Bond Auction,3.38|1.6,,3.37|1.4
2010-01-06 07:30:00,USD,Low Impact Expected,Challenger Job Cuts y/y,-72.9%,,-72.3%
2010-01-06 08:15:00,USD,High Impact Expected,ADP Non-Farm Employment Change,-84K,-74K,-145K
2010-01-06 10:00:00,USD,High Impact Expected,ISM Non-Manufacturing PMI,50.1,50.5,48.7
2010-01-06 10:30:00,USD,Medium Impact Expected,Crude Oil Inventories,1.3M,-0.4M,-1.5M
2010-01-06 14:00:00,USD,High Impact Expected,FOMC Meeting Minutes,,,
2010-01-06 16:45:00,NZD,Medium Impact Expected,Trade Balance,-269M,-397M,-495M
2010-01-06 19:30:00,AUD,High Impact Expected,Retail Sales m/m,1.4%,0.4%,0.4%
2010-01-06 19:30:00,AUD,High Impact Expected,Trade Balance,-1.70B,-1.79B,-2.08B
2010-01-07 01:00:00,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
2010-01-07 02:00:00,EUR,Medium Impact Expected,German Retail Sales m/m,-1.1%,0.4%,0.0%
2010-01-07 03:15:00,CHF,Medium Impact Expected,CPI m/m,-0.2%,0.1%,0.2%
2010-01-07 04:00:00,GBP,High Impact Expected,Halifax HPI m/m,1.0%,0.6%,1.3%
2010-01-07 05:00:00,EUR,Medium Impact Expected,Retail Sales m/m,-1.2%,0.0%,0.2%
2010-01-07 05:00:00,EUR,Low Impact Expected,Consumer Confidence,-16,-16,-17
2010-01-07 05:05:00,EUR,Medium Impact Expected,French 10-y Bond Auction,3.60|1.7,,3.62|2.1
2010-01-07 06:00:00,EUR,Medium Impact Expected,German Factory Orders m/m,0.2%,1.6%,-1.9%
2010-01-07 07:00:00,GBP,High Impact Expected,Asset Purchase Facility,200B,200B,200B
2010-01-07 07:00:00,GBP,High Impact Expected,MPC Rate Statement,,,
2010-01-07 07:00:00,GBP,High Impact Expected,Official Bank Rate,0.50%,0.50%,0.50%
2010-01-07 08:30:00,USD,High Impact Expected,Unemployment Claims,434K,449K,433K
2010-01-07 10:00:00,CAD,High Impact Expected,Ivey PMI,48.4,52.2,55.9
2010-01-07 10:30:00,USD,Low Impact Expected,Natural Gas Storage,-153B,-147B,-124B
2010-01-07 13:00:00,USD,Medium Impact Expected,FOMC Member Hoenig Speaks,,,
2010-01-07 17:30:00,AUD,Low Impact Expected,AIG Construction Index,49.3,,47.6
2010-01-08 00:00:00,JPY,Low Impact Expected,Leading Indicators,91.2%,91.4%,89.4%
2010-01-08 01:45:00,CHF,Low Impact Expected,Unemployment Rate,4.2%,4.2%,4.1%
2010-01-08 02:00:00,EUR,Low Impact Expected,German Trade Balance,17.2B,12.3B,12.7B
2010-01-08 02:30:00,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
2010-01-08 02:45:00,EUR,Low Impact Expected,French Trade Balance,-5.3B,-3.9B,-4.4B
2010-01-08 04:30:00,GBP,High Impact Expected,PPI Input m/m,0.1%,-0.2%,0.1%
2010-01-08 04:30:00,GBP,Low Impact Expected,PPI Output m/m,0.5%,0.2%,0.2%
2010-01-08 05:00:00,EUR,Medium Impact Expected,Unemployment Rate,10.0%,9.9%,9.9%
2010-01-08 05:00:00,EUR,Low Impact Expected,Final GDP q/q,0.4%,0.4%,0.4%
2010-01-08 05:00:00,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,8.3%,8.3%,8.2%
2010-01-08 06:00:00,EUR,Medium Impact Expected,German Industrial Production m/m,0.7%,1.1%,-1.7%
2010-01-08 07:00:00,CAD,High Impact Expected,Employment Change,-2.6K,20.2K,79.1K
2010-01-08 07:00:00,CAD,High Impact Expected,Unemployment Rate,8.5%,8.5%,8.5%
2010-01-08 08:30:00,USD,High Impact Expected,Non-Farm Employment Change,-85K,-3K,4K
2010-01-08 08:30:00,USD,High Impact Expected,Unemployment Rate,10.0%,10.1%,10.0%
2010-01-08 08:30:00,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.2%,0.2%,0.2%
2010-01-08 10:00:00,USD,Low Impact Expected,Final Wholesale Inventories m/m,1.5%,-0.2%,0.6%
2010-01-08 10:15:00,USD,Medium Impact Expected,FOMC Member Rosengren Speaks,,,
2010-01-08 14:40:00,USD,Low Impact Expected,President Obama Speaks,,,
2010-01-08 15:00:00,USD,Low Impact Expected,Consumer Credit m/m,-17.5B,-4.9B,-4.2B
2010-01-10 01:04:00,CNY,High Impact Expected,USD-Denominated Trade Balance,18.4B,20.3B,19.1B
2010-01-10 00:00:00,JPY,Non-Economic,Bank Holiday,,,
2010-01-10 19:30:00,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,6.0%,,5.2%
2010-01-10 21:10:00,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
2010-01-11 02:45:00,EUR,Medium Impact Expected,French Industrial Production m/m,1.1%,0.4%,-0.6%
2010-01-11 03:15:00,CHF,High Impact Expected,Retail Sales y/y,0.6%,1.9%,3.6%
2010-01-11 05:16:00,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
2010-01-11 08:15:00,CAD,High Impact Expected,Housing Starts,175K,161K,165K
2010-01-11 08:30:00,CAD,High Impact Expected,Building Permits m/m,-4.6%,-2.6%,20.0%
2010-01-11 10:30:00,CAD,High Impact Expected,BOC Business Outlook Survey,,,
2010-01-11 14:20:00,CAD,Medium Impact Expected,Gov Council Member Lane Speaks,,,
2010-01-11 16:00:00,NZD,High Impact Expected,NZIER Business Confidence,31,,36
2010-01-11 18:50:00,JPY,Low Impact Expected,Bank Lending y/y,-1.0%,,0.2%
2010-01-11 18:50:00,JPY,Low Impact Expected,Current Account,1.30T,1.22T,1.38T
2010-01-11 18:50:00,JPY,Low Impact Expected,M2 Money Stock y/y,3.1%,3.3%,3.3%
2010-01-11 19:01:00,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,4.2%,,1.8%
2010-01-11 19:01:00,GBP,Medium Impact Expected,RICS House Price Balance,30%,38%,35%
2010-01-11 19:30:00,AUD,High Impact Expected,Home Loans m/m,-5.6%,-1.2%,-1.9%
2010-01-12 00:00:00,JPY,Low Impact Expected,Economy Watchers Sentiment,35.4,34.2,33.9
2010-01-12 02:45:00,EUR,Low Impact Expected,French Gov Budget Balance,-143.3B,,-134.8B
2010-01-12 04:30:00,GBP,Medium Impact Expected,Goods Trade Balance,-6.8B,-6.9B,-7.0B
2010-01-12 04:30:00,GBP,Low Impact Expected,ONS HPI y/y,0.6%,0.4%,-2.2%
2010-01-12 07:30:00,USD,Low Impact Expected,NFIB Small Business Index,88.0,,88.3
2010-01-12 08:30:00,CAD,High Impact Expected,Trade Balance,-0.3B,0.8B,0.5B
2010-01-12 08:30:00,CAD,Medium Impact Expected,NHPI m/m,0.4%,0.3%,0.3%
2010-01-12 08:30:00,USD,High Impact Expected,Trade Balance,-36.4B,-34.9B,-33.2B
2010-01-12 10:00:00,USD,Low Impact Expected,IBD/TIPP Economic Optimism,48.8,49.2,46.8
2010-01-12 10:00:00,USD,Low Impact Expected,JOLTS Job Openings,2.42M,,2.57M
2010-01-12 21:00:00,NZD,Low Impact Expected,ANZ Commodity Prices m/m,2.6%,,10.5%
2010-01-13 01:00:00,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,62.8%,,-8.4%
2010-01-13 02:45:00,EUR,Low Impact Expected,French Final CPI m/m,0.3%,0.3%,0.1%
2010-01-13 04:00:00,EUR,Low Impact Expected,Italian Industrial Production m/m,0.2%,0.8%,0.7%
2010-01-13 04:30:00,GBP,High Impact Expected,Manufacturing Production m/m,0.0%,0.3%,0.0%
2010-01-13 04:30:00,GBP,Low Impact Expected,Industrial Production m/m,0.4%,0.3%,-0.1%
2010-01-13 08:30:00,EUR,Medium Impact Expected,Spanish 10-y Bond Auction,4.10|1.2,,3.89|2.1
2010-01-13 10:00:00,GBP,Medium Impact Expected,NIESR GDP Estimate,0.3%,,0.2%
2010-01-13 10:30:00,USD,Medium Impact Expected,Crude Oil Inventories,3.7M,1.2M,1.3M
2010-01-13 13:00:00,USD,Medium Impact Expected,10-y Bond Auction,3.75|3.0,,3.45|2.6
2010-01-13 14:00:00,USD,Medium Impact Expected,Beige Book,,,
2010-01-13 14:00:00,USD,Medium Impact Expected,Federal Budget Balance,-91.9B,-88.9B,-120.3B
2010-01-13 16:45:00,NZD,High Impact Expected,Building Consents m/m,1.2%,,10.7%
2010-01-13 18:50:00,JPY,Medium Impact Expected,Core Machinery Orders m/m,-11.3%,0.3%,-4.5%
2010-01-13 18:50:00,JPY,Low Impact Expected,PPI y/y,-3.9%,-3.8%,-5.0%
2010-01-13 19:30:00,AUD,High Impact Expected,Employment Change,35.2K,10.2K,31.4K
2010-01-13 19:30:00,AUD,High Impact Expected,Unemployment Rate,5.5%,5.8%,5.6%
2010-01-14 02:00:00,EUR,Low Impact Expected,German Final CPI m/m,0.8%,0.7%,0.7%
2010-01-14 05:00:00,EUR,Medium Impact Expected,Industrial Production m/m,1.0%,0.6%,-0.3%
2010-01-14 07:45:00,EUR,High Impact Expected,Main Refinancing Rate,1.00%,1.00%,1.00%
2010-01-14 08:30:00,EUR,High Impact Expected,ECB Press Conference,,,
2010-01-14 08:30:00,USD,High Impact Expected,Core Retail Sales m/m,-0.2%,0.3%,1.9%
2010-01-14 08:30:00,USD,High Impact Expected,Retail Sales m/m,-0.3%,0.4%,1.8%
2010-01-14 08:30:00,USD,High Impact Expected,Unemployment Claims,444K,438K,433K
2010-01-14 08:30:00,USD,Medium Impact Expected,Import Prices m/m,0.0%,-0.1%,1.6%
2010-01-14 10:00:00,USD,Medium Impact Expected,Business Inventories m/m,0.4%,0.1%,0.4%
2010-01-14 10:30:00,USD,Low Impact Expected,Natural Gas Storage,-266B,-255B,-153B
2010-01-14 13:00:00,USD,Low Impact Expected,30-y Bond Auction,4.64|2.7,,4.52|2.4
2010-01-14 21:29:00,CNY,Low Impact Expected,Foreign Direct Investment ytd/y,-2.6%,,-9.9%
2010-01-15 02:00:00,EUR,Low Impact Expected,German WPI m/m,0.2%,0.5%,0.7%
2010-01-15 03:09:00,CNY,Medium Impact Expected,New Loans,380B,,295B
2010-01-15 03:09:00,CNY,Low Impact Expected,M2 Money Supply y/y,27.7%,28.3%,29.7%
2010-01-15 03:15:00,CHF,Medium Impact Expected,PPI m/m,0.1%,0.2%,0.0%
2010-01-15 05:00:00,EUR,Medium Impact Expected,Final CPI y/y,0.9%,0.9%,0.9%
2010-01-15 05:00:00,EUR,Medium Impact Expected,Final Core CPI y/y,1.1%,1.0%,1.0%
2010-01-15 05:00:00,EUR,Low Impact Expected,Trade Balance,3.9B,5.4B,4.7B
2010-01-15 05:00:00,GBP,Low Impact Expected,CB Leading Index m/m,0.9%,,1.1%
2010-01-15 08:30:00,CAD,Low Impact Expected,New Motor Vehicle Sales m/m,-6.0%,-6.3%,3.4%
2010-01-15 08:30:00,USD,High Impact Expected,Core CPI m/m,0.1%,0.1%,0.0%
2010-01-15 08:30:00,USD,Medium Impact Expected,CPI m/m,0.1%,0.2%,0.4%
2010-01-15 08:30:00,USD,Medium Impact Expected,Empire State Manufacturing Index,15.9,11.2,2.6
2010-01-15 09:15:00,USD,Medium Impact Expected,Capacity Utilization Rate,72.0%,71.9%,71.5%
2010-01-15 09:15:00,USD,Medium Impact Expected,Industrial Production m/m,0.6%,0.7%,0.6%
2010-01-15 09:55:00,USD,High Impact Expected,Prelim UoM Consumer Sentiment,72.8,73.8,72.5
2010-01-15 09:55:00,USD,Low Impact Expected,Prelim UoM Inflation Expectations,2.8%,,2.5%
2010-01-17 16:00:00,NZD,Medium Impact Expected,REINZ HPI m/m,-0.9%,,0.2%
2010-01-17 18:30:00,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.3%,,0.3%
2010-01-17 19:01:00,GBP,Medium Impact Expected,Rightmove HPI m/m,0.4%,,-2.2%
2010-01-17 19:30:00,JPY,Medium Impact Expected,BOJ Gov Shirakawa Speaks,,,
2010-01-17 23:30:00,JPY,Low Impact Expected,Revised Industrial Production m/m,2.2%,2.6%,2.6%
2010-01-18 04:00:00,EUR,Low Impact Expected,Italian Trade Balance,-0.79B,-0.73B,-0.73B
2010-01-18 00:00:00,EUR,Medium Impact Expected,Eurogroup Meetings,,,
2010-01-18 06:00:00,EUR,Low Impact Expected,German Buba Monthly Report,,,
2010-01-18 00:00:00,USD,Non-Economic,Bank Holiday,,,
2010-01-18 08:30:00,CAD,Medium Impact Expected,Foreign Securities Purchases,10.54B,5.23B,5.95B
2010-01-19 00:00:00,JPY,Low Impact Expected,Consumer Confidence,37.6,40.3,39.5
2010-01-19 00:00:00,EUR,Medium Impact Expected,ECOFIN Meetings,,,
2010-01-19 04:30:00,GBP,High Impact Expected,CPI y/y,2.9%,2.6%,1.9%
2010-01-19 04:30:00,GBP,Medium Impact Expected,Core CPI y/y,2.8%,2.3%,1.9%
2010-01-19 04:30:00,GBP,Low Impact Expected,RPI y/y,2.4%,2.1%,0.3%
2010-01-19 05:00:00,EUR,High Impact Expected,German ZEW Economic Sentiment,47.2,49.8,50.4
2010-01-19 05:00:00,EUR,Medium Impact Expected,ZEW Economic Sentiment,46.4,48.2,48.0
2010-01-19 08:30:00,CAD,Medium Impact Expected,Leading Index m/m,1.5%,1.1%,1.3%
2010-01-19 09:00:00,CAD,High Impact Expected,BOC Rate Statement,,,
2010-01-19 09:00:00,CAD,High Impact Expected,Overnight Rate,0.25%,0.25%,0.25%
2010-01-19 09:00:00,USD,High Impact Expected,TIC Long-Term Purchases,126.8B,30.3B,19.3B
2010-01-19 13:00:00,USD,Low Impact Expected,NAHB Housing Market Index,15,17,16
2010-01-19 14:00:00,GBP,High Impact Expected,BOE Gov King Speaks,,,
2010-01-19 16:45:00,NZD,High Impact Expected,CPI q/q,-0.2%,0.0%,1.3%
2010-01-19 16:45:00,NZD,Low Impact Expected,FPI m/m,-0.3%,,-0.3%
2010-01-19 18:30:00,AUD,Medium Impact Expected,Westpac Consumer Sentiment,5.6%,,-3.8%
2010-01-19 18:50:00,JPY,Medium Impact Expected,Tertiary Industry Activity m/m,-0.2%,-0.1%,0.4%
2010-01-20 02:00:00,EUR,Medium Impact Expected,German PPI m/m,-0.1%,0.2%,0.1%
2010-01-20 04:30:00,GBP,High Impact Expected,Claimant Count Change,-15.2K,-3.3K,-10.8K
2010-01-20 04:30:00,GBP,High Impact Expected,MPC Asset Purchase Facility Votes,0-0-9,0-0-9,0-0-9
2010-01-20 04:30:00,GBP,High Impact Expected,MPC Official Bank Rate Votes,0-0-9,0-0-9,0-0-9
2010-01-20 04:30:00,GBP,Medium Impact Expected,Average Earnings Index 3m/y,0.7%,1.6%,1.5%
2010-01-20 04:30:00,GBP,Low Impact Expected,Unemployment Rate,7.8%,8.0%,7.9%
2010-01-20 07:00:00,CAD,High Impact Expected,Core CPI m/m,-0.3%,-0.2%,0.4%
2010-01-20 07:00:00,CAD,Medium Impact Expected,CPI m/m,-0.3%,-0.1%,0.5%
2010-01-20 08:30:00,CAD,Medium Impact Expected,Manufacturing Sales m/m,0.1%,1.6%,2.1%
2010-01-20 08:30:00,USD,High Impact Expected,Building Permits,0.65M,0.59M,0.59M
2010-01-20 08:30:00,USD,High Impact Expected,PPI m/m,0.2%,0.1%,1.8%
2010-01-20 08:30:00,USD,Medium Impact Expected,Core PPI m/m,0.0%,0.1%,0.5%
2010-01-20 08:30:00,USD,Medium Impact Expected,Housing Starts,0.56M,0.58M,0.58M
2010-01-20 08:30:00,USD,Low Impact Expected,FOMC Member Dudley Speaks,,,
2010-01-20 10:30:00,GBP,Medium Impact Expected,MPC Member Posen Speaks,,,
2010-01-20 16:34:00,NZD,Low Impact Expected,Business NZ Manufacturing Index,52.9,,51.9
2010-01-20 16:45:00,NZD,High Impact Expected,Core Retail Sales m/m,0.8%,0.3%,0.5%
2010-01-20 16:45:00,NZD,Medium Impact Expected,Retail Sales m/m,0.8%,0.6%,0.1%
2010-01-20 19:00:00,AUD,Medium Impact Expected,MI Inflation Expectations,3.5%,,3.6%
2010-01-20 19:30:00,AUD,Medium Impact Expected,New Motor Vehicle Sales m/m,3.3%,,5.9%
2010-01-20 21:00:00,CNY,High Impact Expected,GDP q/y,10.7%,10.7%,9.1%
2010-01-20 21:00:00,CNY,High Impact Expected,Industrial Production y/y,18.5%,19.8%,19.2%
2010-01-20 21:00:00,CNY,Medium Impact Expected,CPI y/y,1.9%,1.5%,0.6%
2010-01-20 21:00:00,CNY,Medium Impact Expected,Fixed Asset Investment ytd/y,30.5%,31.5%,32.1%
2010-01-20 21:00:00,CNY,Medium Impact Expected,NBS Press Conference,,,
2010-01-20 21:00:00,CNY,Medium Impact Expected,PPI y/y,1.7%,0.7%,-2.1%
2010-01-20 21:00:00,CNY,Low Impact Expected,Retail Sales y/y,17.5%,16.4%,15.8%
2010-01-21 03:00:00,EUR,Medium Impact Expected,French Flash Manufacturing PMI,54.7,55.0,54.7
2010-01-21 03:00:00,EUR,Medium Impact Expected,French Flash Services PMI,57.0,59.2,58.7
2010-01-21 03:30:00,EUR,Medium Impact Expected,German Flash Manufacturing PMI,53.4,53.0,52.7
2010-01-21 03:30:00,EUR,Medium Impact Expected,German Flash Services PMI,51.2,53.1,52.7
2010-01-21 04:00:00,EUR,Medium Impact Expected,ECB Monthly Bulletin,,,
2010-01-21 04:00:00,EUR,Medium Impact Expected,Flash Manufacturing PMI,52.0,52.0,51.6
2010-01-21 04:00:00,EUR,Medium Impact Expected,Flash Services PMI,52.3,54.1,53.6
2010-01-21 04:30:00,GBP,Medium Impact Expected,Prelim Mortgage Approvals,62K,65K,63K
2010-01-21 04:30:00,GBP,Medium Impact Expected,Public Sector Net Borrowing,15.7B,18.6B,18.7B
2010-01-21 04:30:00,GBP,Low Impact Expected,M4 Money Supply m/m,-1.1%,1.0%,0.1%
2010-01-21 05:00:00,CHF,Medium Impact Expected,Credit Suisse Economic Expectations,56.2,,54.0
2010-01-21 05:00:00,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
2010-01-21 05:41:00,GBP,Medium Impact Expected,10-y Bond Auction,4.09|2.4,,3.79|1.8
2010-01-21 06:00:00,GBP,Medium Impact Expected,CBI Industrial Order Expectations,-39,-39,-42
2010-01-21 07:00:00,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
2010-01-21 08:30:00,CAD,Medium Impact Expected,Wholesale Sales m/m,2.5%,0.4%,0.5%
2010-01-21 08:30:00,USD,High Impact Expected,Unemployment Claims,482K,441K,446K
2010-01-21 10:00:00,EUR,Low Impact Expected,Consumer Confidence,-16,-15,-16
2010-01-21 10:00:00,USD,High Impact Expected,Philly Fed Manufacturing Index,15.2,18.1,20.4
2010-01-21 10:00:00,USD,Low Impact Expected,CB Leading Index m/m,1.1%,0.7%,1.0%
2010-01-21 10:30:00,CAD,High Impact Expected,BOC Monetary Policy Report,,,
2010-01-21 10:30:00,USD,Low Impact Expected,Natural Gas Storage,-245B,-214B,-266B
2010-01-21 11:00:00,USD,Medium Impact Expected,Crude Oil Inventories,-0.4M,2.2M,3.7M
2010-01-21 11:14:00,USD,High Impact Expected,President Obama Speaks,,,
2010-01-21 11:15:00,CAD,High Impact Expected,BOC Press Conference,,,
2010-01-21 13:30:00,GBP,Medium Impact Expected,MPC Member Tucker Speaks,,,
2010-01-21 19:30:00,AUD,Medium Impact Expected,Import Prices q/q,-4.3%,-1.8%,-3.0%
2010-01-21 23:30:00,JPY,Low Impact Expected,All Industries Activity m/m,0.1%,0.1%,1.1%
2010-01-22 02:10:00,JPY,Medium Impact Expected,BOJ Gov Shirakawa Speaks,,,
2010-01-22 04:30:00,GBP,High Impact Expected,Retail Sales m/m,0.3%,1.3%,-0.3%
2010-01-22 05:00:00,EUR,Medium Impact Expected,Industrial New Orders m/m,1.6%,0.6%,-1.9%
2010-01-22 08:30:00,CAD,High Impact Expected,Core Retail Sales m/m,0.0%,0.3%,0.3%
2010-01-22 08:30:00,CAD,Medium Impact Expected,Retail Sales m/m,-0.3%,-0.3%,1.0%
2010-01-22 09:00:00,EUR,Medium Impact Expected,Belgian NBB Business Climate,-7.0,-7.0,-7.9
2010-01-24 19:30:00,AUD,High Impact Expected,PPI q/q,-0.4%,0.1%,0.1%
2010-01-25 02:00:00,EUR,Medium Impact Expected,German GfK Consumer Climate,3.2,3.2,3.4
2010-01-25 10:00:00,USD,High Impact Expected,Existing Home Sales,5.45M,5.95M,6.54M
2010-01-25 00:00:00,AUD,Non-Economic,Bank Holiday,,,
2010-01-25 18:50:00,JPY,Low Impact Expected,SPPI y/y,-1.5%,-1.4%,-2.2%
2010-01-25 21:00:00,NZD,Low Impact Expected,Credit Card Spending y/y,1.8%,,1.5%
2010-01-25 22:26:00,JPY,Medium Impact Expected,Monetary Policy Statement,,,
2010-01-25 22:26:00,JPY,Medium Impact Expected,Overnight Call Rate,0.10%,0.10%,0.10%
2010-01-26 02:00:00,CHF,Medium Impact Expected,UBS Consumption Indicator,1.20,,1.26
2010-01-26 02:00:00,EUR,Low Impact Expected,German Import Prices m/m,0.5%,0.1%,0.4%
2010-01-26 02:19:00,JPY,High Impact Expected,BOJ Press Conference,,,
2010-01-26 02:45:00,EUR,Medium Impact Expected,French Consumer Spending m/m,2.1%,0.7%,0.1%
2010-01-26 04:00:00,EUR,High Impact Expected,German Ifo Business Climate,95.8,95.2,94.6
2010-01-26 04:00:00,EUR,Medium Impact Expected,Current Account,0.1B,-3.1B,-4.6B
2010-01-26 04:00:00,EUR,Low Impact Expected,Italian Retail Sales m/m,0.0%,0.1%,0.0%
2010-01-26 04:30:00,GBP,High Impact Expected,Prelim GDP q/q,0.1%,0.4%,-0.2%
2010-01-26 04:30:00,GBP,Medium Impact Expected,High Street Lending,45.9K,46.0K,45.0K
2010-01-26 04:30:00,GBP,Low Impact Expected,Index of Services 3m/3m,0.1%,0.4%,-0.2%
2010-01-26 04:45:00,GBP,High Impact Expected,BOE Gov King Speaks,,,
2010-01-26 09:00:00,USD,Medium Impact Expected,S&P/CS Composite-20 HPI y/y,-5.3%,-4.9%,-7.3%
2010-01-26 09:59:00,USD,Low Impact Expected,Richmond Manufacturing Index,-2,0,-4
2010-01-26 10:00:00,USD,High Impact Expected,CB Consumer Confidence,55.9,53.6,53.6
2010-01-26 10:00:00,USD,Low Impact Expected,HPI m/m,0.7%,0.5%,0.4%
